id,id_inspecao,op,codigo,descricao,quantidade_programada,inspecao_completa,quantidade_nc,codigo_nc,observacao,codigo_item,descricao_item,destino,sem_fim,central,inspecoes,tensao
6,3,95437,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,True,0,,,2008004,Capacitor,capacitor,Nacional,,,0,
7,3,95437,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,True,0,,,2008004,Jumper,jumper,Nacional,,,0,
8,3,95437,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,True,0,,,2008004,Tampa,tampa,Nacional,,,0,
9,3,95437,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,True,0,,,2008004,Manual,manual,Nacional,,,0,
10,3,95437,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,True,0,,,2008004,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
4,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Estator,estator,Nacional,,,0,
5,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Sem fim,sem_fim,Nacional,,,0,
6,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Furo,furo,Nacional,,,0,
7,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Capacitor,capacitor,Nacional,,,0,
8,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Placa,placa,Nacional,,,0,
9,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Jumper,jumper,Nacional,,,0,
10,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,KIT,kit,Nacional,,,0,
11,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Manual,manual,Nacional,,,0,
12,4,96959,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,90,True,0,,,2007087,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
5,5,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Estator,estator,Nacional,,,0,
6,5,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Sem fim,sem_fim,Nacional,,,0,
7,5,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Furo,furo,Nacional,,,0,
8,5,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Capacitor,capacitor,Nacional,,,0,
9,5,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Placa,placa,Nacional,,,0,
10,5,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Jumper,jumper,Nacional,,,0,
11,5,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,KIT,kit,Nacional,,,0,
12,5,97319,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,75,True,0,,,2007087,Manual,manual,Nacional,,,0,
